Generation 	 BestPhrase 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
106            TM beior not tF be     0.833333             0.817778                  0.015556 
107            TS bewor not tF be     0.833333             0.819722                  0.013611 
108            TM bewor not tF be     0.833333             0.819444                  0.013889 
109            TS bewor not tR be     0.833333             0.818889                  0.014444 
110            TS bewor not tF be     0.833333             0.818333                  0.015000 
111            TS beior not tA be     0.833333             0.821389                  0.011944 
112            TS be or not tF be     0.888889             0.821667                  0.067222 
113            TS bewor not to be     0.888889             0.821111                  0.067778 
114            TS bewor not to be     0.888889             0.822778                  0.066111 
115            Tz bewor not to be     0.888889             0.820833                  0.068056 
116            TS beJor not to be     0.888889             0.823056                  0.065833 
117            TM beVor not to be     0.888889             0.825833                  0.063056 
118            TS bewor not to be     0.888889             0.834444                  0.054444 
119            Tz bewor not to be     0.888889             0.836944                  0.051944 
120            TS bewor not to be     0.888889             0.839722                  0.049167 
121            TS beVor not to be     0.888889             0.836667                  0.052222 
122            Ts beior not to be     0.888889             0.846944                  0.041944 
123            TS beior not to be     0.888889             0.849444                  0.039444 
124            TS beior not to be     0.888889             0.859722                  0.029167 
125            TM beior not to be     0.888889             0.861111                  0.027778 
126            TS beior not to be     0.888889             0.861389                  0.027500 
127            To beVor not to be     0.944444             0.860278                  0.084167 
128            To beVor not to be     0.944444             0.865833                  0.078611 
129            To bewor not to be     0.944444             0.865556                  0.078889 
130            To bewor not to be     0.944444             0.868611                  0.075833 
131            To bewor not to be     0.944444             0.868889                  0.075556 
132            To bewor not to be     0.944444             0.868611                  0.075833 
133            To bewor not to be     0.944444             0.865556                  0.078889 
134            To beior not to be     0.944444             0.873889                  0.070556 
135            To bewor not to be     0.944444             0.878056                  0.066389 
136            To bewor not to be     0.944444             0.875833                  0.068611 
137            To bewor not to be     0.944444             0.882500                  0.061944 
138            To beior not to be     0.944444             0.890000                  0.054444 
139            To beior not to be     0.944444             0.898333                  0.046111 
140            To beCor not to be     0.944444             0.901944                  0.042500 
141            To beRor not to be     0.944444             0.905000                  0.039444 
142            To bewor not to be     0.944444             0.909444                  0.035000 
143            To beBor not to be     0.944444             0.911111                  0.033333 
144            To bewor not to be     0.944444             0.913333                  0.031111 
145            To beior not to be     0.944444             0.920278                  0.024167 
146            To bemor not to be     0.944444             0.920556                  0.023889 
147            To behor not to be     0.944444             0.922778                  0.021667 
148            To beBor not to be     0.944444             0.920278                  0.024167 
149            To bewor not to be     0.944444             0.923333                  0.021111 
150            To bewor not to be     0.944444             0.923333                  0.021111 
151            To bewor not to be     0.944444             0.925278                  0.019167 
152            To bewor not to be     0.944444             0.928056                  0.016389 
153            To beBor not to be     0.944444             0.926667                  0.017778 
154            To beBor not to be     0.944444             0.925000                  0.019444 
155            To beior not to be     0.944444             0.925556                  0.018889 
156            To beRor not to be     0.944444             0.920278                  0.024167 
157            To beXor not to be     0.944444             0.920833                  0.023611 
158            To beBor not to be     0.944444             0.920833                  0.023611 
159            To beRor not to be     0.944444             0.919722                  0.024722 
160            To behor not to be     0.944444             0.918889                  0.025556 
161            To bemor not to be     0.944444             0.916944                  0.027500 
162            To bewor not to be     0.944444             0.917222                  0.027222 
163            To bewor not to be     0.944444             0.922500                  0.021944 
164            To bemor not to be     0.944444             0.923611                  0.020833 
165            To beRor not to be     0.944444             0.922222                  0.022222 
166            To beFor not to be     0.944444             0.920556                  0.023889 
167            To behor not to be     0.944444             0.924444                  0.020000 
168            To bepor not to be     0.944444             0.923333                  0.021111 
169            To beRor not to be     0.944444             0.927500                  0.016944 
170            To beBor not to be     0.944444             0.922222                  0.022222 
171            To beRor not to be     0.944444             0.923611                  0.020833 
172            To beRor not to be     0.944444             0.924167                  0.020278 
173            To beior not to be     0.944444             0.927778                  0.016667 
174            To beVor not to be     0.944444             0.925000                  0.019444 
175            To bewor not to be     0.944444             0.928611                  0.015833 
176            To beRor not to be     0.944444             0.929167                  0.015278 
177            To beRor not to be     0.944444             0.929722                  0.014722 
178            To beRor not to be     0.944444             0.927222                  0.017222 
179            To beior not to be     0.944444             0.924722                  0.019722 
180            To be or not to be     1.000000             0.923889                  0.076111 
