Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
167          0.584259             0.545987                  0.038272 
168          0.585741             0.548971                  0.036769 
169          0.590833             0.550663                  0.040170 
170          0.597130             0.553794                  0.043335 
171          0.597778             0.556287                  0.041491 
172          0.591667             0.556576                  0.035091 
173          0.593426             0.557465                  0.035961 
174          0.596852             0.557349                  0.039503 
175          0.590000             0.556922                  0.033078 
176          0.596296             0.555688                  0.040608 
177          0.592315             0.557273                  0.035042 
178          0.601204             0.558680                  0.042524 
179          0.594630             0.559332                  0.035297 
180          0.594815             0.560780                  0.034035 
181          0.600000             0.562963                  0.037037 
182          0.591667             0.564123                  0.027544 
183          0.600000             0.564273                  0.035727 
184          0.605370             0.565267                  0.040104 
185          0.605000             0.564661                  0.040339 
186          0.599444             0.567517                  0.031927 
187          0.610000             0.569110                  0.040890 
188          0.606296             0.570647                  0.035649 
189          0.601944             0.572254                  0.029691 
190          0.608333             0.573672                  0.034661 
191          0.609444             0.574084                  0.035360 
192          0.604630             0.575537                  0.029093 
193          0.618796             0.576020                  0.042776 
194          0.613981             0.576139                  0.037843 
195          0.615648             0.576191                  0.039457 
196          0.613148             0.577901                  0.035247 
197          0.611111             0.579286                  0.031825 
198          0.612130             0.580710                  0.031420 
199          0.612685             0.582071                  0.030614 
200          0.613889             0.582214                  0.031675 
201          0.624815             0.585243                  0.039572 
202          0.621667             0.585445                  0.036221 
203          0.624815             0.586083                  0.038731 
204          0.630185             0.588356                  0.041829 
205          0.632130             0.590013                  0.042117 
206          0.625278             0.592344                  0.032934 
207          0.629074             0.592180                  0.036894 
208          0.627130             0.592231                  0.034899 
209          0.633519             0.594253                  0.039265 
210          0.628426             0.594150                  0.034276 
211          0.623796             0.593665                  0.030131 
212          0.632037             0.594880                  0.037157 
213          0.629259             0.595105                  0.034154 
214          0.631019             0.597098                  0.033920 
215          0.630463             0.598465                  0.031998 
216          0.630741             0.598100                  0.032641 
217          0.633796             0.599251                  0.034545 
218          0.635833             0.599584                  0.036250 
219          0.638704             0.600282                  0.038422 
220          0.637593             0.600420                  0.037173 
221          0.633981             0.601630                  0.032351 
222          0.635463             0.601663                  0.033800 
223          0.637870             0.602966                  0.034904 
224          0.639352             0.604919                  0.034433 
225          0.636574             0.605421                  0.031153 
226          0.646574             0.605958                  0.040616 
227          0.640648             0.607911                  0.032737 
228          0.643519             0.608946                  0.034572 
229          0.656389             0.609043                  0.047346 
230          0.647870             0.610237                  0.037634 
231          0.642870             0.611246                  0.031624 
232          0.645093             0.611376                  0.033716 
233          0.647037             0.611714                  0.035323 
234          0.645185             0.612656                  0.032529 
235          0.648241             0.615862                  0.032379 
236          0.663333             0.616903                  0.046431 
237          0.644630             0.617009                  0.027621 
238          0.648426             0.616997                  0.031429 
239          0.645463             0.616191                  0.029272 
240          0.650648             0.617767                  0.032881 
241          0.650093             0.619367                  0.030726 
242          0.650093             0.619453                  0.030639 
243          0.659815             0.621210                  0.038605 
244          0.656204             0.623774                  0.032430 
245          0.666296             0.625235                  0.041062 
246          0.656667             0.627657                  0.029010 
247          0.658333             0.628073                  0.030260 
248          0.662500             0.628093                  0.034407 
249          0.669444             0.630299                  0.039146 
250          0.661574             0.629732                  0.031842 
251          0.664259             0.631771                  0.032488 
252          0.666481             0.630992                  0.035490 
253          0.666667             0.632267                  0.034400 
254          0.672593             0.633619                  0.038974 
255          0.673333             0.635320                  0.038013 
256          0.677593             0.636201                  0.041391 
257          0.677037             0.637385                  0.039652 
258          0.671019             0.638254                  0.032764 
259          0.670741             0.639507                  0.031234 
260          0.673519             0.640758                  0.032760 
261          0.676481             0.640581                  0.035900 
262          0.671204             0.640777                  0.030426 
263          0.671852             0.639057                  0.032795 
264          0.685741             0.640875                  0.044865 
265          0.672222             0.641083                  0.031139 
266          0.681852             0.641274                  0.040578 
267          0.673611             0.641741                  0.031870 
268          0.676944             0.641064                  0.035880 
269          0.686852             0.643700                  0.043152 
270          0.673426             0.642796                  0.030630 
271          0.686481             0.642176                  0.044306 
272          0.701944             0.642993                  0.058951 
273          0.677500             0.642785                  0.034715 
274          0.691389             0.642721                  0.048668 
275          0.682037             0.644800                  0.037238 
276          0.682315             0.646994                  0.035321 
277          0.680093             0.648044                  0.032048 
278          0.690463             0.648980                  0.041483 
279          0.697685             0.651176                  0.046509 
280          0.700278             0.651789                  0.048489 
281          0.689907             0.655768                  0.034139 
282          0.699352             0.655311                  0.044041 
283          0.693704             0.657618                  0.036086 
284          0.693333             0.656917                  0.036417 
285          0.699537             0.655762                  0.043775 
286          0.708704             0.658322                  0.050381 
287          0.694815             0.657976                  0.036838 
288          0.698519             0.659146                  0.039372 
289          0.688611             0.658788                  0.029824 
290          0.709259             0.661141                  0.048119 
291          0.700370             0.663088                  0.037282 
292          0.706759             0.662212                  0.044548 
293          0.694907             0.662432                  0.032475 
294          0.698241             0.662103                  0.036137 
295          0.704815             0.661819                  0.042995 
296          0.699352             0.662056                  0.037296 
297          0.702222             0.664406                  0.037817 
298          0.701111             0.664827                  0.036284 
299          0.707870             0.667571                  0.040299 
300          0.711852             0.665695                  0.046157 
301          0.700463             0.667324                  0.033139 
302          0.709722             0.666942                  0.042781 
303          0.708241             0.669808                  0.038432 
304          0.715093             0.672178                  0.042914 
305          0.720556             0.673295                  0.047261 
306          0.706481             0.675418                  0.031064 
307          0.713889             0.675364                  0.038525 
308          0.710556             0.677242                  0.033314 
309          0.712130             0.678643                  0.033487 
310          0.712963             0.678399                  0.034564 
311          0.714167             0.678830                  0.035337 
312          0.716574             0.679307                  0.037267 
313          0.715093             0.680355                  0.034738 
314          0.722870             0.679744                  0.043126 
315          0.720741             0.678394                  0.042347 
316          0.725370             0.679673                  0.045697 
317          0.730185             0.681024                  0.049162 
318          0.723704             0.681069                  0.042635 
319          0.719815             0.682685                  0.037130 
320          0.731667             0.684341                  0.047325 
321          0.729352             0.687038                  0.042313 
322          0.722315             0.688456                  0.033858 
323          0.731852             0.687615                  0.044237 
324          0.726296             0.689554                  0.036742 
325          0.728796             0.690288                  0.038509 
326          0.727315             0.690436                  0.036879 
327          0.727407             0.692361                  0.035046 
328          0.734722             0.694412                  0.040310 
329          0.728333             0.693088                  0.035245 
330          0.728611             0.692092                  0.036519 
331          0.722500             0.692988                  0.029512 
332          0.735185             0.693462                  0.041723 
333          0.727593             0.692526                  0.035066 
334          0.734907             0.692924                  0.041984 
335          0.731296             0.694378                  0.036919 
336          0.734074             0.694768                  0.039306 
337          0.741759             0.696630                  0.045129 
338          0.740648             0.697439                  0.043209 
339          0.727407             0.697246                  0.030161 
340          0.728148             0.697746                  0.030402 
341          0.727037             0.697096                  0.029941 
342          0.724444             0.696944                  0.027500 
343          0.727315             0.695428                  0.031887 
344          0.729259             0.693778                  0.035481 
345          0.736296             0.694310                  0.041986 
346          0.732222             0.694358                  0.037864 
347          0.733981             0.691420                  0.042561 
348          0.733056             0.693465                  0.039590 
349          0.738796             0.693371                  0.045425 
350          0.725093             0.694285                  0.030808 
351          0.735185             0.695700                  0.039486 
352          0.731574             0.696004                  0.035570 
353          0.739259             0.697448                  0.041812 
354          0.730278             0.696447                  0.033831 
355          0.736667             0.697099                  0.039568 
356          0.736852             0.698350                  0.038502 
357          0.748426             0.698142                  0.050284 
358          0.735926             0.700014                  0.035912 
359          0.733796             0.700724                  0.033073 
360          0.728241             0.703370                  0.024871 
361          0.743241             0.703999                  0.039242 
362          0.738056             0.704108                  0.033948 
363          0.744074             0.703267                  0.040807 
364          0.745370             0.705564                  0.039806 
365          0.742685             0.705925                  0.036760 
366          0.736667             0.703254                  0.033413 
367          0.734815             0.702293                  0.032522 
368          0.743519             0.704855                  0.038663 
369          0.744722             0.703259                  0.041463 
370          0.751019             0.704094                  0.046925 
371          0.739352             0.705423                  0.033929 
372          0.740741             0.707569                  0.033172 
373          0.745463             0.708875                  0.036588 
374          0.747315             0.708975                  0.038340 
375          0.752037             0.709549                  0.042488 
376          0.753333             0.709315                  0.044018 
377          0.738889             0.709067                  0.029822 
378          0.744907             0.709306                  0.035602 
379          0.742870             0.710954                  0.031916 
380          0.749352             0.711072                  0.038280 
381          0.743333             0.712229                  0.031104 
382          0.745833             0.711937                  0.033896 
383          0.740833             0.710910                  0.029923 
384          0.745556             0.711488                  0.034067 
385          0.751481             0.710475                  0.041006 
386          0.744444             0.708938                  0.035506 
387          0.755278             0.710665                  0.044613 
388          0.749259             0.711505                  0.037754 
389          0.741667             0.712026                  0.029641 
390          0.748056             0.712904                  0.035151 
391          0.751111             0.713494                  0.037617 
392          0.751574             0.713430                  0.038144 
393          0.756111             0.712918                  0.043193 
394          0.754722             0.714585                  0.040138 
395          0.747407             0.713815                  0.033593 
396          0.744167             0.715363                  0.028804 
397          0.749907             0.714406                  0.035502 
398          0.753704             0.716019                  0.037684 
399          0.756204             0.716106                  0.040098 
400          0.752037             0.715564                  0.036473 
401          0.754907             0.714709                  0.040199 
402          0.753981             0.715803                  0.038178 
403          0.747963             0.716967                  0.030996 
404          0.746759             0.715396                  0.031363 
405          0.757315             0.714782                  0.042532 
406          0.746389             0.714474                  0.031915 
407          0.750093             0.715333                  0.034759 
408          0.748796             0.714481                  0.034316 
409          0.751574             0.713025                  0.038549 
410          0.758519             0.713175                  0.045344 
411          0.744630             0.711556                  0.033073 
412          0.746667             0.711788                  0.034879 
413          0.745833             0.712587                  0.033246 
414          0.746389             0.713794                  0.032594 
415          0.765278             0.712536                  0.052742 
416          0.747222             0.714358                  0.032864 
417          0.751296             0.713969                  0.037327 
418          0.751296             0.713243                  0.038053 
419          0.752593             0.713481                  0.039112 
420          0.751204             0.712256                  0.038947 
421          0.758796             0.715917                  0.042879 
422          0.754722             0.718207                  0.036515 
423          0.751852             0.718529                  0.033323 
424          0.752222             0.719725                  0.032497 
425          0.756111             0.718134                  0.037977 
426          0.764537             0.718294                  0.046244 
427          0.763056             0.720560                  0.042495 
428          0.764537             0.719405                  0.045132 
429          0.765278             0.720473                  0.044805 
430          0.757685             0.721046                  0.036639 
431          0.754630             0.722966                  0.031663 
432          0.764074             0.723916                  0.040158 
433          0.757315             0.721830                  0.035485 
434          0.761019             0.722871                  0.038148 
435          0.760741             0.724646                  0.036094 
436          0.760648             0.726527                  0.034121 
437          0.763611             0.726173                  0.037438 
438          0.767963             0.727703                  0.040260 
439          0.760741             0.727229                  0.033512 
440          0.774630             0.729500                  0.045129 
441          0.766481             0.731343                  0.035139 
442          0.771667             0.731501                  0.040165 
443          0.768704             0.730991                  0.037713 
444          0.765000             0.731463                  0.033537 
445          0.767778             0.731013                  0.036764 
446          0.763333             0.731093                  0.032240 
447          0.772685             0.730333                  0.042352 
448          0.769630             0.727489                  0.042141 
449          0.769352             0.728736                  0.040616 
450          0.761481             0.727374                  0.034108 
451          0.759815             0.727238                  0.032576 
452          0.769167             0.725850                  0.043317 
453          0.761944             0.727302                  0.034642 
454          0.761667             0.727764                  0.033902 
455          0.774537             0.729247                  0.045290 
456          0.771852             0.727126                  0.044725 
457          0.760556             0.726215                  0.034341 
458          0.762963             0.726156                  0.036807 
459          0.762130             0.725498                  0.036631 
460          0.768056             0.726503                  0.041553 
461          0.761019             0.726534                  0.034484 
462          0.764352             0.726381                  0.037971 
463          0.768704             0.724336                  0.044368 
464          0.766019             0.724190                  0.041829 
465          0.757315             0.725202                  0.032113 
466          0.763981             0.727272                  0.036710 
467          0.770093             0.727156                  0.042937 
468          0.761111             0.727619                  0.033492 
469          0.765463             0.729769                  0.035694 
470          0.763148             0.730610                  0.032538 
471          0.757222             0.729564                  0.027658 
472          0.760185             0.728689                  0.031496 
473          0.764259             0.727380                  0.036880 
474          0.769815             0.729301                  0.040514 
475          0.779722             0.729622                  0.050100 
476          0.767130             0.728541                  0.038589 
477          0.777593             0.727987                  0.049606 
478          0.772407             0.730562                  0.041846 
479          0.771389             0.727902                  0.043487 
480          0.765000             0.727749                  0.037251 
481          0.765741             0.727146                  0.038595 
482          0.762500             0.727184                  0.035316 
483          0.771019             0.729187                  0.041831 
484          0.767407             0.729992                  0.037416 
485          0.762685             0.730658                  0.032027 
486          0.772963             0.732237                  0.040726 
487          0.774537             0.733380                  0.041157 
488          0.771574             0.734412                  0.037162 
489          0.772778             0.735688                  0.037090 
490          0.776574             0.736563                  0.040011 
491          0.785741             0.737612                  0.048129 
492          0.774167             0.736532                  0.037635 
493          0.772593             0.738483                  0.034109 
494          0.776204             0.738064                  0.038140 
495          0.774630             0.739856                  0.034773 
496          0.782500             0.741678                  0.040822 
497          0.778519             0.740431                  0.038087 
498          0.784167             0.742029                  0.042138 
499          0.783426             0.741877                  0.041549 
500          0.781667             0.741383                  0.040283 
501          0.778611             0.741834                  0.036777 
502          0.781481             0.743183                  0.038298 
503          0.780278             0.744303                  0.035975 
504          0.773519             0.742230                  0.031289 
505          0.786852             0.743213                  0.043638 
506          0.786296             0.745861                  0.040435 
507          0.775093             0.744260                  0.030832 
508          0.781296             0.744920                  0.036376 
509          0.795278             0.743046                  0.052232 
510          0.798611             0.744379                  0.054232 
511          0.781111             0.745587                  0.035525 
512          0.788426             0.746574                  0.041852 
513          0.781204             0.745847                  0.035357 
514          0.783333             0.746640                  0.036693 
515          0.795556             0.747369                  0.048187 
516          0.782407             0.745795                  0.036612 
517          0.792130             0.746440                  0.045690 
518          0.789815             0.749714                  0.040101 
519          0.793148             0.749361                  0.043787 
520          0.792593             0.749474                  0.043119 
521          0.791944             0.750185                  0.041760 
522          0.783056             0.748173                  0.034883 
523          0.786481             0.748056                  0.038426 
524          0.788241             0.749576                  0.038664 
525          0.792037             0.751713                  0.040324 
526          0.786481             0.751535                  0.034947 
527          0.784815             0.752124                  0.032691 
528          0.782778             0.751825                  0.030953 
529          0.791852             0.751723                  0.040129 
530          0.789352             0.750088                  0.039264 
531          0.786574             0.749163                  0.037411 
532          0.791667             0.748241                  0.043425 
533          0.790278             0.749300                  0.040977 
534          0.781852             0.749419                  0.032433 
535          0.781204             0.750617                  0.030587 
536          0.786111             0.753013                  0.033098 
537          0.783796             0.751393                  0.032403 
538          0.785463             0.751415                  0.034048 
539          0.787407             0.752314                  0.035093 
540          0.796667             0.751556                  0.045111 
541          0.792963             0.752471                  0.040492 
542          0.801389             0.753107                  0.048281 
543          0.799815             0.754769                  0.045046 
544          0.799167             0.753595                  0.045572 
545          0.801296             0.757712                  0.043584 
546          0.795000             0.760377                  0.034623 
547          0.793056             0.760333                  0.032722 
548          0.797870             0.760660                  0.037210 
549          0.798148             0.759718                  0.038430 
550          0.788889             0.757945                  0.030944 
551          0.795833             0.756823                  0.039010 
552          0.795093             0.759659                  0.035434 
553          0.795556             0.760418                  0.035138 
554          0.794074             0.759867                  0.034207 
555          0.795278             0.761401                  0.033876 
556          0.808241             0.761302                  0.046938 
557          0.800741             0.761199                  0.039542 
558          0.787685             0.763289                  0.024396 
559          0.795370             0.760619                  0.034751 
560          0.799074             0.760653                  0.038421 
561          0.798981             0.760754                  0.038227 
562          0.796019             0.760207                  0.035811 
563          0.792222             0.759636                  0.032587 
564          0.791667             0.758050                  0.033616 
565          0.798889             0.758436                  0.040453 
566          0.797593             0.756946                  0.040647 
567          0.806389             0.758338                  0.048051 
568          0.806574             0.757867                  0.048707 
569          0.800926             0.758238                  0.042688 
570          0.800926             0.757687                  0.043239 
571          0.795185             0.757319                  0.037866 
572          0.804722             0.759496                  0.045226 
573          0.788981             0.757434                  0.031547 
574          0.796852             0.757015                  0.039837 
575          0.797130             0.758214                  0.038915 
576          0.796759             0.759325                  0.037434 
577          0.799352             0.759363                  0.039988 
578          0.791019             0.760065                  0.030953 
579          0.803241             0.759378                  0.043863 
580          0.803981             0.758601                  0.045380 
581          0.800556             0.758574                  0.041981 
582          0.803333             0.760248                  0.043086 
583          0.807222             0.759633                  0.047589 
584          0.799537             0.759641                  0.039896 
585          0.804074             0.759435                  0.044639 
586          0.797315             0.759676                  0.037639 
587          0.792315             0.759342                  0.032973 
588          0.800556             0.761726                  0.038830 
589          0.796574             0.758774                  0.037800 
590          0.800648             0.756442                  0.044206 
591          0.803148             0.757963                  0.045185 
592          0.798519             0.757767                  0.040752 
593          0.801759             0.759736                  0.042023 
594          0.802593             0.762081                  0.040512 
595          0.813148             0.760652                  0.052496 
596          0.800741             0.761602                  0.039139 
597          0.799630             0.761277                  0.038352 
598          0.796759             0.761240                  0.035519 
599          0.804722             0.760239                  0.044483 
600          0.799537             0.759980                  0.039557 
601          0.808889             0.760433                  0.048456 
602          0.801852             0.760919                  0.040932 
603          0.801852             0.762735                  0.039117 
604          0.812222             0.762696                  0.049526 
605          0.803889             0.765850                  0.038038 
606          0.808796             0.767302                  0.041494 
607          0.806481             0.769877                  0.036605 
608          0.804815             0.770938                  0.033877 
609          0.812222             0.771336                  0.040887 
610          0.814352             0.771466                  0.042886 
611          0.808981             0.771563                  0.037419 
612          0.809722             0.771091                  0.038631 
613          0.814815             0.774579                  0.040236 
614          0.810093             0.773588                  0.036504 
615          0.814167             0.772786                  0.041381 
616          0.805093             0.771640                  0.033453 
617          0.810463             0.771081                  0.039382 
618          0.814352             0.771888                  0.042464 
619          0.816389             0.772289                  0.044100 
620          0.815463             0.773380                  0.042083 
621          0.813981             0.776235                  0.037746 
622          0.812407             0.776344                  0.036063 
623          0.822870             0.776386                  0.046484 
624          0.820463             0.776871                  0.043592 
625          0.806204             0.775312                  0.030892 
626          0.811944             0.776607                  0.035337 
627          0.812963             0.775639                  0.037324 
628          0.831667             0.778262                  0.053405 
629          0.829074             0.778791                  0.050283 
630          0.825926             0.777418                  0.048508 
631          0.819259             0.778209                  0.041050 
632          0.814352             0.777896                  0.036456 
633          0.818426             0.779953                  0.038473 
634          0.824537             0.778109                  0.046428 
635          0.814259             0.777019                  0.037240 
636          0.822870             0.776034                  0.046837 
637          0.817130             0.775389                  0.041741 
638          0.817963             0.777102                  0.040861 
639          0.814259             0.774929                  0.039331 
640          0.826296             0.775121                  0.051175 
641          0.816944             0.773287                  0.043658 
642          0.818333             0.775697                  0.042637 
643          0.810093             0.775519                  0.034573 
